id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
325059,RU-0482,closed,Seltsy Heliport,54.909708,39.570599,348.0,EU,RU,RU-RYA,Seltsy,no,,,,,,"ХА4Л, Сельцы, HA4L"
325861,RU-0483,small_airport,Padinskoye Airstrip,44.844707,43.185901,,EU,RU,RU-STA,Padinskoye,no,,,,,,
325862,RU-0484,small_airport,Kotovo Airfield,51.3146773,38.0090673,,EU,RU,RU-BEL,Kotovo,no,,,,,,"kotovo, dosaaf"
326381,RU-0485,closed,Aviator-3 Airfield,55.331223,39.339296,,EU,RU,RU-MOS,Demidovo,no,,,,,,
326388,RU-0486,closed,Baranikha Airport,68.497585,168.253903,712.0,EU,RU,RU-CHU,Baranikha,no,,,,,,"УХМБ, Бараниха, UHMB"
326989,RU-0487,closed,Cherek,43.527152,43.997648,,EU,RU,RU-KB,Cherek,no,,,,,,
328341,RU-0488,small_airport,Belgorod-Severniy Airstrip,50.657376,36.529791,,EU,RU,RU-BEL,Belgorod,no,,,,,,
328360,RU-0489,closed,Smirnykh Air Base,49.736042,142.859672,141.0,EU,RU,RU-SAK,Smirnykh,no,,,,,https://en.wikipedia.org/wiki/Smirnykh_Air_Base,"ЬХСХ, Смирных, Keton Airfield, XHSH"
35122,RU-0490,small_airport,Zavitinsk Air Base,50.1917,129.503006,906.0,AS,RU,RU-AMU,Zavitinsk,no,XHBC,,,,https://en.wikipedia.org/wiki/Zavitinsk_(air_base),
328361,RU-0491,closed,Pervomaysk/Zhitnitsa Airfield,49.964669,143.276972,498.0,EU,RU,RU-SAK,Pervomaysk,no,,,,,,Первомайск
329766,RU-0492,small_airport,Taldom airstrip,56.7397979,37.6042247,,EU,RU,RU-MOS,Taldom,no,,,,,,
330384,RU-0493,small_airport,Bichevaya Airport,47.75029,135.64066,361.0,EU,RU,RU-KHA,Bichevaya,yes,,,ZC2P,,,
330837,RU-0494,closed,Korpiya Airstrip,59.530483,29.331986,510.0,EU,RU,RU-LEN,Korpiya,no,,,,,,
330838,RU-0495,closed,Kotly Airfield,59.593901,28.895078,300.0,EU,RU,RU-LEN,Kotly,no,,,,,,
330839,RU-0496,closed,Begunitsy Northwest Airfield,59.605536,29.27302,489.0,EU,RU,RU-LEN,Begunitsy,no,,,,,,
330840,RU-0497,closed,Golubkovo Airfield,58.558887,29.935358,223.0,EU,RU,RU-LEN,Golubkovo,no,,,,,,
330841,RU-0498,closed,Luga Bereg Airstrip,58.672416,29.961654,150.0,EU,RU,RU-LEN,,no,,,,,,
330844,RU-0499,closed,Rybezhno West,60.33571,32.93771,140.0,EU,RU,RU-LEN,Lesozavod,no,,,,,,
330877,RU-0500,closed,Aleksandrov East Airport,56.403308,39.067037,597.0,EU,RU,RU-VLA,Aleksandrov,no,,,,,,
330878,RU-0501,closed,Bogoslovo Airport,56.192328,40.31477,500.0,EU,RU,RU-VLA,Vladimir,no,,,,,,
330879,RU-0502,closed,Bolshiye Vsegodichi Airport,56.458041,41.29236,340.0,EU,RU,RU-VLA,Kovrov,no,,,,,,
330880,RU-0503,closed,Vtorovo Airport,56.254781,40.811732,410.0,EU,RU,RU-VLA,Vtorovo,no,,,,,,Второво
330881,RU-0504,closed,Kameno Airport,56.409669,40.978079,340.0,EU,RU,RU-VLA,Kameshkovo,no,,,,,,
330882,RU-0505,closed,Gorokhovets Airport,56.180573,42.668519,500.0,EU,RU,RU-VLA,Gorokhovets,no,,,,,,
330883,RU-0506,closed,Danilkovo Airport,56.213543,42.263569,445.0,EU,RU,RU-VLA,Vyazniki,no,,,,,,
330884,RU-0507,closed,Paustovo Airfield,56.135622,42.174507,400.0,EU,RU,RU-VLA,Paustovo,no,,,,,,
